Probability_0,Probability_1,Probability_2
0.009471598903286015,2.2651024665246697e-07,0.9905281745864674
0.9998088718012157,1.538258949734667e-17,0.00019112819878425565
5.718717062380574e-06,0.10053487643839085,0.8994594048445467
3.87232442752942e-07,0.07762352430098002,0.9223760884665773
4.926130223312342e-17,0.9999970735167213,2.9264832788084785e-06
0.9999999965925808,2.9076737687973306e-27,3.4074191458869883e-09
0.0027940399677372136,1.291570190258549e-06,0.9972046684620727
0.9999999777177149,2.9201553397305866e-27,2.2282285151842195e-08
0.9992211379306438,1.6921695844089042e-16,0.0007788620693559436
0.9991899560435185,3.447489267121804e-16,0.0008100439564809961
4.284288951830377e-19,0.9999998986005351,1.013994649790288e-07
3.416539420229164e-19,0.999999267603001,7.323969990698694e-07
0.9999743071426618,5.545060652211622e-19,2.569285733809157e-05
0.0010268626061816942,2.1181738274168866e-07,0.9989729255764355
0.9999938291713366,1.5047042974215918e-20,6.170828663363659e-06
7.316612043659911e-06,0.005150393255087343,0.9948422901328691
0.998426873521095,1.473948748035133e-14,0.0015731264788903993
2.3904601482528454e-05,0.003574794926253394,0.9964013004722642
2.14411742392325e-05,0.0005637624774502779,0.9994147963483105
6.878476158701019e-08,0.28376328093027,0.7162366502849684
0.9999977567926208,1.936844027074053e-23,2.243207379141176e-06
0.001393354974243738,2.1977916279788048e-06,0.9986044472341282
0.0021916688748204144,1.1778594727641185e-07,0.9978082133392322
1.1645067416450533e-15,0.9998923531740701,0.00010764682592883985
1.0810453353473914e-06,0.020146025304992946,0.9798528936496717
7.620062855108532e-14,0.9999321077598912,6.789224003266408e-05
9.1607077935925e-22,0.9999999991902875,8.097124424117449e-10
0.999999996326078,1.703610825416979e-28,3.6739221289571906e-09
0.9998559442681801,3.4196936906186367e-18,0.00014405573181983995
0.0021900550819571375,4.133560974679519e-06,0.9978058113570683
4.5693950979302833e-07,0.013596025497615067,0.986403517562875
0.9995888906608497,9.529604898331276e-16,0.0004111093391494682
1.2428184814302005e-15,0.9999847213812749,1.5278618723792353e-05
2.1915986157284422e-14,0.9999871636688424,1.2836331135524146e-05
2.4629823033863122e-05,0.0003541523978028245,0.9996212177791635
6.295466939715414e-24,0.9999999993042548,6.957452275386102e-10
0.00021202425905072635,5.8704749738068435e-05,0.9997292709912111
0.998610497673984,3.880274853171069e-16,0.0013895023260154945
3.0650791903570843e-06,0.02132509358793364,0.9786718413328759
0.9999384931798221,3.3264739218186747e-19,6.150682017791829e-05
6.818623451172513e-17,0.9999709523805517,2.9047619448395737e-05
0.9999941112730432,3.1087002420177295e-21,5.8887269568396095e-06
0.9999999976594498,2.57262416330803e-27,2.340550135613955e-09
0.9999998754283617,1.9712609339363188e-26,1.2457163825863007e-07
0.9999999908186233,4.3050131682945895e-27,9.181376648391463e-09
0.00829252091344528,3.755264398142335e-07,0.9917071035601149
0.9999999999362701,1.1762534700305651e-29,6.37299037563034e-11
1.8984861821213128e-27,0.9999999999983173,1.6826353499241423e-12
0.007650134222729947,6.934005584485679e-07,0.9923491723767116
0.999999194400959,1.1310894353932915e-23,8.055990410610359e-07
4.405452261735049e-19,0.9999998864415798,1.1355842030380322e-07
0.9999988766758094,2.2564884419985086e-22,1.1233241906657412e-06
0.9999999963376027,1.599345430002386e-26,3.662397274357915e-09
0.9999996648887148,2.855414684103673e-23,3.3511128517097264e-07
2.8539681582998924e-15,0.9999626329527356,3.736704726152052e-05
0.9999990909036205,7.956533840419111e-24,9.090963794504015e-07
0.9999803776699404,7.239644218076053e-19,1.962233005955751e-05
0.9999999981083343,1.4162757028427973e-28,1.8916656489657763e-09
0.9999751085229376,3.570683356447767e-18,2.4891477062323692e-05
0.027342430098220606,7.911281408175271e-07,0.9726567787736387
0.002070626447690161,1.8049224530894656e-05,0.9979113243277791
3.658493143835875e-20,0.9999998713884101,1.2861159001707643e-07
3.269539110099038e-17,0.999998467232525,1.5327674751270186e-06
0.9919306529120464,2.0254162841638468e-14,0.008069347087933382
0.004635324601217158,9.297159967627323e-07,0.9953637456827861
0.0066627950676667385,1.1861225056008796e-07,0.9933370863200827
0.9998570851606647,1.2104372467335459e-19,0.0001429148393353063
2.6006052777001327e-05,0.07076086608162868,0.9292131278655944
1.0384132995491463e-26,0.9999999999749092,2.509089143998301e-11
0.00042078107755634097,3.582045109410576e-05,0.9995433984713495
1.3715013129921103e-08,0.5596714314034619,0.44032855488152495
0.999995254192176,2.2749685943678067e-21,4.745807823980099e-06
0.9999998432147953,5.586916505171075e-23,1.567852045620662e-07
1.1881240038653234e-22,0.9999999986180801,1.3819200158013011e-09
0.04080043310654239,4.363753683574274e-09,0.9591995625297038
0.000504867241461335,3.9653683743413475e-08,0.999495093104855
